City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,dobson,1,US,clear sky,61,36.4,-80.72,82.0,0.0,0.0,6.93
1,kapaa,40,US,scattered clouds,74,22.08,-159.32,82.4,0.0,0.0,8.05
2,mar del plata,75,AR,broken clouds,57,-38.0,-57.56,51.8,0.0,0.0,8.05
3,bredasdorp,1,ZA,clear sky,82,-34.53,20.04,59.0,0.0,0.0,14.99
4,mount isa,0,AU,clear sky,37,-20.73,139.5,53.6,0.0,0.0,6.93
5,chapais,90,CA,overcast clouds,77,49.78,-74.85,59.0,0.0,0.0,14.99
6,bandarbeyla,99,SO,overcast clouds,74,9.49,50.81,80.85,0.0,0.0,31.16
7,klaksvik,100,FO,overcast clouds,76,62.23,-6.59,53.6,0.0,0.0,5.82
8,moose factory,90,CA,mist,93,51.26,-80.61,51.8,0.0,0.0,5.82
9,cabedelo,20,BR,few clouds,61,-6.98,-34.83,82.4,0.0,0.0,13.87
10,nikolskoye,0,RU,clear sky,56,59.7,30.79,73.4,0.0,0.0,2.24
11,dukat,3,RU,clear sky,45,62.55,155.55,65.57,0.0,0.0,6.31
12,rapid valley,1,US,clear sky,35,44.06,-103.15,84.2,0.0,0.0,17.22
13,puerto ayora,92,EC,overcast clouds,57,-0.74,-90.35,80.6,0.0,0.0,23.04
14,atuona,0,PF,clear sky,70,-9.8,-139.03,80.15,0.0,0.0,15.75
15,scottsboro,75,US,broken clouds,69,34.67,-86.03,82.4,0.0,0.0,3.36
16,esperance,32,AU,scattered clouds,53,-33.87,121.9,51.8,0.0,0.0,14.99
17,isla mujeres,75,MX,haze,70,21.23,-86.73,87.8,0.0,0.0,11.41
18,kutum,98,SD,overcast clouds,45,14.2,24.67,76.98,0.0,0.0,9.22
19,castro,15,BR,few clouds,73,-24.79,-50.01,68.16,0.0,0.0,15.41
20,henties bay,0,NA,clear sky,91,-22.12,14.28,57.0,0.0,0.0,5.99
21,mataura,1,NZ,clear sky,83,-46.19,168.86,39.0,0.0,0.0,3.0
22,mokhsogollokh,0,RU,clear sky,72,61.47,128.92,56.12,0.0,0.0,2.44
23,kavaratti,100,IN,light rain,80,10.57,72.64,81.64,0.7,0.0,23.78
24,police,1,PL,clear sky,88,53.55,14.57,75.0,0.0,0.0,8.05
25,mahebourg,40,MU,shower rain,69,-20.41,57.7,73.4,0.0,0.0,13.87
26,khasan,100,RU,light rain,96,42.43,130.64,58.06,0.31,0.0,7.25
27,kousseri,40,CM,thunderstorm with light rain,88,12.08,15.03,75.2,0.0,0.0,27.51
28,busselton,0,AU,clear sky,70,-33.65,115.33,52.0,0.0,0.0,11.5
29,presidente olegario,0,BR,clear sky,53,-18.42,-46.42,79.0,0.0,0.0,5.17
30,washington,1,US,clear sky,30,47.5,-120.5,82.99,0.0,0.0,3.36
31,katsuura,75,JP,broken clouds,100,35.13,140.3,73.0,0.0,0.0,9.17
32,roald,8,NO,clear sky,68,62.58,6.13,64.4,0.0,0.0,10.29
33,aras,20,ES,few clouds,83,42.56,-2.36,69.8,0.0,0.0,8.05
34,barrow,90,US,mist,93,71.29,-156.79,39.2,0.0,0.0,16.11
35,indaial,75,BR,light rain,83,-26.9,-49.23,73.0,0.0,0.0,6.93
36,port hedland,0,AU,clear sky,58,-20.32,118.57,57.2,0.0,0.0,8.05
37,bambous virieux,40,MU,shower rain,69,-20.34,57.76,73.4,0.0,0.0,13.87
38,kodiak,90,US,moderate rain,87,57.79,-152.41,50.0,1.52,0.0,17.22
39,banda aceh,100,ID,overcast clouds,66,5.56,95.32,81.37,0.0,0.0,4.85
40,ushuaia,40,AR,scattered clouds,69,-54.8,-68.3,37.4,0.0,0.0,21.92
41,tuktoyaktuk,75,CA,broken clouds,61,69.45,-133.04,46.4,0.0,0.0,11.41
42,kamenka,100,RU,overcast clouds,57,51.32,42.77,62.01,0.0,0.0,1.99
43,faya,0,SA,clear sky,56,18.39,42.45,75.2,0.0,0.0,3.87
44,mehran,0,IR,clear sky,27,33.12,46.16,75.2,0.0,0.0,6.2
45,hithadhoo,73,MV,broken clouds,74,-0.6,73.08,84.29,0.0,0.0,10.89
46,avarua,37,CK,scattered clouds,69,-21.21,-159.78,73.4,0.0,0.0,6.93
47,qaanaaq,1,GL,clear sky,79,77.48,-69.36,39.34,0.0,0.0,4.05
48,pontes e lacerda,99,BR,overcast clouds,36,-15.23,-59.34,91.69,0.0,0.0,7.0
49,jamestown,75,US,broken clouds,82,42.1,-79.24,68.0,0.0,0.0,5.82
50,narsaq,75,GL,light intensity drizzle rain,81,60.92,-46.05,44.6,0.0,0.0,8.05
51,rikitea,28,PF,light rain,81,-23.12,-134.97,73.9,0.15,0.0,20.96
52,tevriz,100,RU,overcast clouds,89,57.51,72.4,50.59,0.0,0.0,5.37
53,westport,1,US,clear sky,30,41.14,-73.36,87.01,0.0,0.0,10.29
54,bonfim,84,BR,light rain,66,3.08,-59.95,86.52,0.2,0.0,5.03
55,ribeira grande,75,PT,broken clouds,82,38.52,-28.7,68.0,0.0,0.0,12.75
56,grindavik,90,IS,overcast clouds,87,63.84,-22.43,48.2,0.0,0.0,3.36
57,yellowknife,75,CA,broken clouds,55,62.46,-114.35,62.6,0.0,0.0,12.75
58,kaitangata,5,NZ,clear sky,88,-46.28,169.85,45.0,0.0,0.0,3.0
59,bergerac,78,FR,broken clouds,69,44.83,0.5,82.0,0.0,0.0,8.05
60,the valley,20,AI,few clouds,62,18.22,-63.06,89.6,0.0,0.0,17.22
61,okhotsk,100,RU,overcast clouds,92,59.38,143.3,45.52,0.0,0.0,2.62
62,verkhnevilyuysk,40,RU,scattered clouds,83,63.45,120.32,56.86,0.0,0.0,3.8
63,martapura,0,ID,clear sky,95,-3.42,114.85,72.68,0.0,0.0,2.06
64,ciechanow,95,PL,overcast clouds,53,52.88,20.62,73.4,0.0,0.0,4.7
65,kavieng,61,PG,broken clouds,73,-2.57,150.8,83.25,0.0,0.0,11.39
66,okha,100,RU,light rain,97,53.57,142.95,42.67,0.61,0.0,14.45
67,saint-philippe,45,RE,light rain,73,-21.36,55.77,71.6,0.13,0.0,26.4
68,babstovo,100,RU,overcast clouds,97,48.12,132.48,55.24,0.0,0.0,7.2
69,dikson,100,RU,overcast clouds,97,73.51,80.55,36.27,0.0,0.0,4.83
70,hobart,40,AU,scattered clouds,70,-42.88,147.33,44.6,0.0,0.0,10.29
71,cape town,75,ZA,moderate rain,93,-33.93,18.42,57.99,3.81,0.0,8.05
72,taoudenni,51,ML,broken clouds,7,22.68,-3.98,103.69,0.0,0.0,4.36
73,avera,1,US,clear sky,62,33.19,-82.53,86.0,0.0,0.0,12.75
74,nome,75,US,broken clouds,52,64.5,-165.41,44.6,0.0,0.0,3.44
75,nizhniy ingash,100,RU,overcast clouds,96,56.2,96.53,59.88,0.0,0.0,2.75
76,vangaindrano,99,MG,moderate rain,92,-23.35,47.6,67.73,1.92,0.0,4.14
77,thompson,90,CA,light intensity shower rain,82,55.74,-97.86,66.2,0.0,0.0,3.36
78,albany,20,US,few clouds,24,42.6,-73.97,84.99,0.0,0.0,5.97
79,punta arenas,30,CL,scattered clouds,64,-53.15,-70.92,39.2,0.0,0.0,5.82
80,ndende,84,GA,broken clouds,76,-2.4,11.36,75.49,0.0,0.0,3.62
81,kahului,40,US,scattered clouds,58,20.89,-156.47,84.2,0.0,0.0,20.8
82,east london,0,ZA,clear sky,28,-33.02,27.91,70.52,0.0,0.0,8.88
83,torbay,40,CA,scattered clouds,65,47.67,-52.73,81.0,0.0,0.0,14.99
84,new norfolk,0,AU,clear sky,83,-42.78,147.06,44.01,0.0,0.0,1.99
85,narodychi,0,UA,clear sky,78,51.2,29.08,63.9,0.0,0.0,6.38
86,aguilas,0,ES,clear sky,59,37.41,-1.58,79.0,0.0,0.0,3.0
87,along,100,IN,moderate rain,90,28.17,94.77,73.29,3.04,0.0,1.07
88,cherskiy,20,RU,few clouds,59,68.75,161.3,53.65,0.0,0.0,13.44
89,geraldton,90,AU,overcast clouds,87,-28.77,114.6,53.6,0.0,0.0,11.41
90,kollam,75,IN,heavy intensity rain,94,8.88,76.6,78.8,0.0,0.0,5.82
91,brigham city,1,US,clear sky,29,41.51,-112.02,78.8,0.0,0.0,34.45
92,hermanus,100,ZA,moderate rain,88,-34.42,19.23,57.99,1.19,0.0,15.57
93,georgetown,20,MY,thunderstorm,88,5.41,100.34,80.6,0.0,0.0,3.36
94,morondava,0,MG,clear sky,81,-20.28,44.28,74.43,0.0,0.0,6.31
95,butaritari,32,KI,scattered clouds,73,3.07,172.79,82.74,0.0,0.0,11.86
96,vao,78,NC,broken clouds,57,-22.67,167.48,69.21,0.0,0.0,10.69
97,ponta do sol,40,PT,scattered clouds,73,32.67,-17.1,70.0,0.0,0.0,12.75
98,leningradskiy,100,RU,light snow,94,69.38,178.42,33.26,0.0,0.3,2.08
99,sovetskiy,2,RU,clear sky,77,61.36,63.58,46.6,0.0,0.0,8.68
100,inyonga,70,TZ,broken clouds,52,-6.72,32.07,68.59,0.0,0.0,3.58
101,hilo,90,US,overcast clouds,65,19.73,-155.09,80.6,0.0,0.0,5.82
