City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Petatlan,17.52,-101.27,89.6,62,75,11.41,MX,2020-06-24 23:15:11
1,Arman,59.7,150.17,56.5,72,67,5.88,RU,2020-06-24 23:15:11
2,Luwuk,-0.95,122.79,78.03,79,100,6.06,ID,2020-06-24 23:15:12
3,Chokurdakh,70.63,147.92,74.97,32,32,7.27,RU,2020-06-24 23:15:12
4,San Cristobal,7.77,-72.22,86.0,58,40,11.41,VE,2020-06-24 23:15:12
5,Ploemeur,47.73,-3.43,71.01,77,0,2.24,FR,2020-06-24 23:15:12
6,Amga,60.9,131.96,70.23,47,6,6.69,RU,2020-06-24 23:15:13
7,Carnarvon,-24.87,113.63,51.8,100,0,6.93,AU,2020-06-24 23:15:13
8,Castro,-24.79,-50.01,56.23,89,24,4.03,BR,2020-06-24 23:15:13
9,Kodiak,57.79,-152.41,53.6,76,90,6.93,US,2020-06-24 23:15:13
10,Cascais,38.7,-9.42,64.0,86,2,21.07,PT,2020-06-24 23:14:49
11,Nipawin,53.37,-104.0,77.0,57,20,14.99,CA,2020-06-24 23:15:13
12,Lebu,-37.62,-73.65,47.84,81,3,5.14,CL,2020-06-24 23:15:14
13,Riachao,-7.36,-46.62,76.08,64,29,3.2,BR,2020-06-24 23:15:14
14,Porto Santo,33.07,-16.34,68.0,82,20,10.29,PT,2020-06-24 23:15:14
15,New Norfolk,-42.78,147.06,51.01,94,82,2.48,AU,2020-06-24 23:15:14
16,Nigde,37.83,34.75,57.15,53,0,4.18,TR,2020-06-24 23:15:15
17,Vilhena,-12.74,-60.15,77.0,61,0,4.7,BR,2020-06-24 23:15:15
18,Kangundo,-1.3,37.35,55.4,87,20,6.93,KE,2020-06-24 23:15:16
19,Les Cayes,18.2,-73.75,81.79,80,42,6.6,HT,2020-06-24 23:15:16
20,Yar-Sale,66.83,70.83,47.52,64,42,7.47,RU,2020-06-24 23:15:16
21,Ziniare,12.58,-1.3,87.8,55,25,8.05,BF,2020-06-24 23:15:17
22,Qaanaaq,77.48,-69.36,39.6,72,81,7.81,GL,2020-06-24 23:15:17
23,Bluff,-46.6,168.33,50.07,81,59,18.77,NZ,2020-06-24 23:14:47
24,Leningradskiy,69.38,178.42,34.68,85,100,14.41,RU,2020-06-24 23:15:17
25,Mar Del Plata,-38.0,-57.56,55.0,76,93,10.29,AR,2020-06-24 23:15:17
26,Dunedin,-45.87,170.5,48.0,92,99,12.93,NZ,2020-06-24 23:15:17
27,Atar,20.52,-13.05,98.71,16,79,2.21,MR,2020-06-24 23:15:18
28,Singaraja,-8.11,115.09,76.53,70,76,5.82,ID,2020-06-24 23:15:18
29,Namatanai,-3.67,152.43,84.52,67,55,7.14,PG,2020-06-24 23:15:18
30,Albany,42.6,-73.97,81.0,40,1,7.65,US,2020-06-24 23:13:25
31,Busselton,-33.65,115.33,51.01,71,95,7.78,AU,2020-06-24 23:15:18
32,Avarua,-21.21,-159.78,77.0,83,55,10.29,CK,2020-06-24 23:15:02
33,Hobart,-42.88,147.33,51.01,100,40,6.93,AU,2020-06-24 23:12:31
34,Casablanca,33.59,-7.62,71.01,83,75,5.82,MA,2020-06-24 23:15:19
35,Khatanga,71.97,102.5,75.02,46,100,8.75,RU,2020-06-24 23:10:19
36,Ushuaia,-54.8,-68.3,35.6,93,90,10.29,AR,2020-06-24 23:15:19
37,Hilo,19.73,-155.09,80.6,69,90,16.11,US,2020-06-24 23:15:19
38,Rikitea,-23.12,-134.97,70.66,56,89,10.56,PF,2020-06-24 23:15:19
39,Yellowknife,62.46,-114.35,69.01,42,75,11.41,CA,2020-06-24 23:15:20
40,Hofn,64.25,-15.21,50.29,90,96,4.72,IS,2020-06-24 23:15:20
41,Katsuura,35.13,140.3,68.0,100,75,3.36,JP,2020-06-24 23:14:44
42,Fortuna,40.6,-124.16,70.0,82,1,18.34,US,2020-06-24 23:10:25
43,Marmande,44.5,0.17,73.99,80,31,6.33,FR,2020-06-24 23:15:20
44,Price,39.6,-110.81,91.4,13,1,9.17,US,2020-06-24 23:11:38
45,Evensk,61.95,159.23,56.73,64,69,6.6,RU,2020-06-24 23:15:21
46,Tiksi,71.69,128.87,65.93,41,12,3.4,RU,2020-06-24 23:15:21
47,Rawson,-43.3,-65.1,42.01,59,18,9.66,AR,2020-06-24 23:13:57
48,Punta Arenas,-53.15,-70.92,39.2,69,75,16.11,CL,2020-06-24 23:15:21
